StationUniqueId,Id,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,Type,IsManagedByTfL
910GACTONML,1,TRUE,False,True,Located in ticket hall,False,Unisex,True
910GBHILLPK,1,FALSE,False,True,,False,Male,True
910GBHILLPK,2,FALSE,False,True,,False,Female,True
910GBHILLPK,3,TRUE,True,True,,False,Unisex,True
910GBNHAM,1,FALSE,False,True,Located on platform 2,False,Male,True
910GBNHAM,2,FALSE,False,True,Located on platform 2,False,Female,True
910GBNHAM,3,TRUE,True,True,Located on platform 2,False,Unisex,True
910GBRTWOOD,1,FALSE,False,True,"Located on platforms 2,3,4",False,Male,True
910GBRTWOOD,2,FALSE,True,True,"Located on platforms 2,3,4",False,Female,True
910GBRTWOOD,3,TRUE,False,True,"Located on platforms 2,3,4",False,Unisex,True
910GCHDWLHT,1,TRUE,False,True,Located in ticket hall,False,Unisex,True
910GCHESHNT,1,FALSE,False,False,Located in ticket hall,False,Male,False
910GCHESHNT,2,FALSE,False,False,Located in ticket hall,False,Female,False
910GCHESHNT,3,TRUE,False,False,Located in ticket hall,False,Unisex,False
910GCHINGFD,1,FALSE,False,True,,False,Male,True
910GCHINGFD,2,FALSE,False,True,,False,Female,True
910GCHINGFD,3,TRUE,True,True,,False,Unisex,True
910GDALS,1,TRUE,False,True,,False,Unisex,True
910GDENMRKH,1,TRUE,False,True,Located behind ticket office,False,Unisex,False
910GENFLDTN,1,FALSE,False,True,,False,Male,True
910GENFLDTN,2,FALSE,False,True,,False,Female,True
910GENFLDTN,3,TRUE,True,True,,False,Unisex,True
910GFRSTGT,1,TRUE,False,False,Located in ticket hall,False,Unisex,True
910GGIDEAPK,1,FALSE,False,True,Located on platforms 3 & 4,False,Male,True
910GGIDEAPK,2,FALSE,False,True,Located on platforms 3 & 4,False,Female,True
910GGIDEAPK,3,TRUE,False,True,Located on platforms 3 & 4,False,Unisex,True
910GGODMAYS,1,TRUE,False,False,Located in ticket hall,False,Unisex,True
910GGOSPLOK,1,FALSE,False,True,,False,Male,True
910GGOSPLOK,2,FALSE,False,True,,False,Female,True
910GGOSPLOK,3,TRUE,True,True,,False,Unisex,True
910GHAGGERS,1,TRUE,False,True,,False,Unisex,True
910GHANWELL,1,TRUE,False,True,Located on platform 3,False,Unisex,True
910GHAYESAH,1,TRUE,False,True,Located on platform 4,False,Unisex,True
910GHAYESAH,2,FALSE,False,True,Located on platform 4,False,Male,True
910GHAYESAH,3,FALSE,False,True,Located on platform 4,False,Female,True
910GHOXTON,1,TRUE,False,True,,False,Unisex,True
910GHRLDWOD,1,FALSE,False,True,Located on platform 3,False,Male,True
910GHRLDWOD,2,FALSE,False,True,Located on platform 3,False,Female,True
910GHRLDWOD,3,TRUE,False,True,Located on platform 3,False,Unisex,True
910GILFORD,1,FALSE,False,True,Located on platform 3,False,Male,True
910GILFORD,2,FALSE,False,True,Located on platform 3,False,Female,True
910GILFORD,3,TRUE,False,True,Located on platform 4,False,Unisex,True
910GIVER,1,TRUE,False,True,,False,Unisex,True
910GLANGLEY,1,FALSE,False,False,Located outside station entrance,False,Male,True
910GLANGLEY,2,FALSE,False,False,Located outside station entrance,False,Female,True
910GLANGLEY,3,TRUE,False,False,Located outside station entrance,False,Unisex,True
910GMANRPK,1,TRUE,False,False,Located in ticket hall,False,Unisex,True
910GMRYLAND,1,TRUE,False,True,Located in ticket hall,False,Unisex,True
910GMDNHEAD,1,FALSE,False,True,Located on platform 4,False,Male,True
910GMDNHEAD,2,FALSE,False,True,Located on platform 4,False,Female,True
910GMDNHEAD,3,TRUE,False,True,Located on platform 4,False,Unisex,True
910GPENEW,1,FALSE,False,True,,False,Male,True
910GPENEW,2,FALSE,True,True,,False,Female,True
910GPENEW,3,TRUE,False,True,,False,Unisex,True
910GRDNGSTN,1,FALSE,False,True,,False,Male,True
910GRDNGSTN,2,FALSE,False,True,,False,Female,True
910GRDNGSTN,3,TRUE,True,True,,False,Unisex,True
910GROMFORD,1,FALSE,False,True,Located on platform 4,False,Male,True
910GROMFORD,2,FALSE,False,True,Located on platform 4,False,Female,True
910GROMFORD,3,TRUE,False,True,Located on platform 4,False,Unisex,True
910GSHENFLD,1,FALSE,False,True,,False,Male,True
910GSHENFLD,2,FALSE,False,True,,False,Female,True
910GSHENFLD,3,TRUE,False,True,,False,Unisex,True
910GSHRDHST,1,TRUE,False,True,,False,Unisex,True
910GSLOUGH,1,FALSE,False,True,Located on platforms 1 & 5,False,Male,True
910GSLOUGH,2,FALSE,False,True,Located on platforms 1 & 5,False,Female,True
910GSLOUGH,3,TRUE,False,True,Located on platforms 1 & 5,False,Unisex,True
910GSTHALL,1,FALSE,False,True,Located in ticket hall,False,Male,True
910GSTHALL,2,FALSE,False,True,Located in ticket hall,False,Female,True
910GSTHALL,3,TRUE,True,True,Located in ticket hall,False,Unisex,True
910GSVNKNGS,1,TRUE,False,True,Located on Footbridge,False,Unisex,True
910GTAPLOW,1,FALSE,False,True,Located on platform 4,False,Male,True
910GTAPLOW,2,FALSE,False,True,Located on platform 4,False,Female,True
910GTAPLOW,3,TRUE,False,True,Located on platform 4,False,Unisex,True
910GTWYFORD,1,FALSE,False,True,Located on platform 4,False,Male,True
910GTWYFORD,2,FALSE,False,True,Located on platform 4,False,Female,True
910GTWYFORD,3,TRUE,False,True,Located on platform 4,False,Unisex,True
910GWDRYTON,1,FALSE,False,True,Located on platform 4,False,Male,True
910GWDRYTON,2,FALSE,False,True,Located on platform 4,False,Female,True
910GWDRYTON,3,TRUE,False,True,Located on platform 4,False,Unisex,True
910GWEALING,1,TRUE,False,True,,False,Unisex,True
910GWHHRTLA,1,TRUE,False,True,,False,Unisex,True
910GWHMDSTD,1,FALSE,False,False,,False,Male,True
910GWHMDSTD,2,FALSE,False,True,,False,Female,True
910GWHMDSTD,3,TRUE,True,True,,False,Unisex,True
940GZZDLSIT,1,FALSE,False,False,Located in National Rail station,False,Male,False
